,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
961,Private,Private,R,R32,TA,TACA,TACA,Taxus canadensis,Canadian Yew,5.3,Y,Y,USDA/TC/LM,
1195,Private,Private,R,R1,MA,MASY,MASY,Malus sylvestris,Crab Apple,5.3,N,N,USDA/TC,Synonym: Malus pumila & Malus domestica
1340,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,5.3,N,N,USDA/TC,
2590,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.3,Y,Y,USDA/TC/LM,
925,Private,Private,R,R19,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,5.4,N,N,USDA/TC/Mortens,
1245,Private,Private,R,R113,AR,ARSP,ARSP,Aralia Spinosa,,5.4,N,Y,https://www.fs.fed.us/database/feis/plants/tree/araspi/all.html,
1416,Private,Private,R,R118,AC,ACGI,ACGI,Acer ginnala,Armur Maple,5.4,N,N,USDA/TC/Mortens,
1536,Private,Private,R,R134,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.4,Y,Y,USDA/TC/LM,
1736,Private,Private,R,R149,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.4,Y,Y,USDA/TC/LM,
1975,Private,Private (Alley),A,A12,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,5.4,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
2239,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,5.4,N,N,USDA/TC/LM,
1068,Private,Private,R,R70,MO,MOAL,MOAL,Morus alba,White Mulberry,5.5,N,N,USDA/TC/Mortens,
1183,Private,Private,R,R8,JU,JUVI,JUVI,Juniperus virginiana,,5.5,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html,
1343,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,5.5,N,N,USDA/TC,
1431,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.5,Y,Y,USDA/TC/LM,
1810,Private,Private,R,R152,MA,MA,MA,Malus_X,,5.5,N,N,NA,
1936,Private,Private (Alley),A,A7,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,5.5,N,N,USDA/TC/LM,
1951,Private,Private (Alley),A,A9,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,5.5,N,N,USDA/TC/LM,
945,Private,Private,R,R11,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,5.6,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1061,Private,Private,R,R67,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.6,Y,Y,USDA/TC/LM,
1229,Private,Private,R,R113,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.6,Y,Y,USDA/TC/LM,
1381,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.6,Y,Y,USDA/TC/LM,
1507,Private,Private,R,R132,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,5.6,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
1702,Private,Private,R,R143,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,5.6,N,N,USDA/TC/Mortens,
1025,Private,Private,R,R50,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,5.7,N,N,USDA/Mortens,
1171,Private,Private,R,R109,JU,JUVI,JUVI,Juniperus virginiana,,5.7,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html,
2575,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.7,Y,Y,USDA/TC/LM,
1013,Private,Private,R,R45,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.8,Y,Y,USDA/TC/LM,
1350,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,5.8,N,N,USDA/TC,
1368,Private,Private,R,R118,CA,CAAB,CAAB,Caragana arborescens,,5.8,N,N,https://treecanada.ca/resources/tree-killers/siberian-peashrub/,
1663,Private,Private,R,R143,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,5.8,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
2104,Private,Private,R,R163,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.8,Y,Y,USDA/TC/LM,
2608,Private,Institutional,I,I1,UL,ULRU,ULRU,Ulmus rubra,,5.8,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html,
929,Private,Private,R,R20,RH,RHTY,RHTY,Rhus typhina,,5.9,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/rhutyp/all.html,
1019,Private,Private,R,R48,AM,AMAR,AMAR,Amelanchier arborea,,5.9,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1432,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,5.9,Y,Y,USDA/TC/LM,
1756,Private,Private,R,R150,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,5.9,N,Y,USDA/TC/LM/Mortens,
2604,Private,Institutional,I,I1,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,5.9,Y,Y,USDA/TC/Mortens/LM,
38,Public,Street,S,S78,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,6,N,N,USDA/TC,
56,Public,Street,S,S3,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,6,N,N,USDA/TC,
57,Public,Street,S,S10,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,6,N,N,USDA/TC,
158,Public,Street,S,S98,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,6,Y,Y,USDA/LM,
233,Public,Street,S,S34,CT,CTSP,CTSP,Catalpa speciosa,Western Catalpa,6,N,Y,USDA/TC/LM,
267,Public,Street,S,S91,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,6,Y,Y,USDA/LM/NRC,
288,Public,Parc,P,P2,CG,CGMO,CGMO,Crataegus x mordensis,NA,6,N,N,TB,NA
376,Public,Street,S,S51,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
383,Public,Street,S,S57,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
391,Public,Street,S,S59,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
398,Public,Street,S,S82,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
401,Public,Street,S,S82,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
404,Public,Street,S,S99,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,6,N,Y,USDA/LM,
447,Public,Street,S,S24,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,6,N,Y,USDA/LM,
811,Public,Street,S,S104,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,6,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
831,Public,Street,S,S33,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,6,N,N,Mortons,
840,Public,Street,S,S39,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,6,N,N,Mortons,
842,Public,Street,S,S39,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,6,N,N,Mortons,
874,Public,Street,S,S96,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,6,N,N,Mortons,
944,Private,Private,R,R11,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,6,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1160,Private,Private,R,R105,PI,PIMA,PIMA,Picea mariana,Black spruce,6,Y,Y,USDA/TC/LM,
1839,Private,Private,R,R155,BE,BEPA,BEPA,Betula papyrifera,Paper Birch,6,Y,Y,USDA/TC/LM,
2143,Private,Institutional,I,I6,AC,ACFR,ACFRAB,Acer_x_freemanii_'Autumn_Blaze',Autumn Blaze Freeman Maple,6,Y,Y,Mortens/LM,Hybrid of silver &red
2144,Private,Institutional,I,I6,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,6,Y,Y,USDA/LM/NRC,
2200,Private,Institutional,I,I6,AC,ACFR,ACFR,Acer × freemanii,FREEMAN MAPLE,6,Y,Y,Mortens/LM,Hybrid of silver &red
2307,Private,Institutional,I,I6,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,6,N,Y,USDA/TC/LM,
2336,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,6,N,N,USDA/TC/LM,
2680,Private,Private (Alley),A,A13,UL,ULAM,ULAM,Ulmus americana,White Elm,6,Y,Y,USDA/TC/LM,
1072,Private,Private,R,R73,UL,ULAM,ULAM,Ulmus americana,White Elm,6.1,Y,Y,USDA/TC/LM,
1499,Private,Private,R,R132,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.1,Y,Y,USDA/TC/LM,
1703,Private,Private,R,R143,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,6.1,N,N,USDA/TC/Mortens,
1775,Private,Private,R,R151,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,6.1,N,N,USDA/TC/LM,
1823,Private,Private,R,R152,UL,ULAM,ULAM,Ulmus americana,White Elm,6.1,Y,Y,USDA/TC/LM,
1935,Private,Private (Alley),A,A7,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,6.1,N,Y,TC/lLM/Mortens,
1280,Private,Private,R,R114,PR,PRAV,PRAV,Prunus avium ,Sweet cherry,6.2,N,N,USDA/TC,
1453,Private,Private,R,R119,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,6.2,N,Y,USDA/TC/LM/Mortens,
1685,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.2,Y,Y,USDA/TC/LM,
1032,Private,Private,R,R56,CA,CAAB,CAAB,Caragana arborescens,,6.3,N,N,https://treecanada.ca/resources/tree-killers/siberian-peashrub/,
1281,Private,Private,R,R114,PR,PRAV,PRAV,Prunus avium ,Sweet cherry,6.3,N,N,USDA/TC,
1412,Private,Private,R,R118,AC,ACGI,ACGI,Acer ginnala,Armur Maple,6.3,N,N,USDA/TC/Mortens,
1504,Private,Private,R,R132,LO,LOPE,LOPE,Lonicera periclymenum,,6.3,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=,
1671,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.3,Y,Y,USDA/TC/LM,
1860,Private,Private,R,R156,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,6.3,N,N,USDA/TC/Mortens,
2655,Private,Institutional,I,I5,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,6.3,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
1952,Private,Private (Alley),A,A9,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,6.4,N,Y,USDA/TC/LM/Mortens,
2236,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,6.4,N,N,USDA/TC/LM,
2669,Private,Institutional,I,I3,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.4,Y,Y,USDA/TC/LM,
1015,Private,Private,R,R46,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,6.5,N,N,USDA/Mortens,
1100,Private,Private,R,R85,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,6.5,N,N,USDA/TC/LM,
1815,Private,Private,R,R152,UL,ULAM,ULAM,Ulmus americana,White Elm,6.5,Y,Y,USDA/TC/LM,
1974,Private,Private (Alley),A,A12,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,6.5,Y,Y,USDA/TC/Mortens/LM,
1052,Private,Private,R,R67,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.6,Y,Y,USDA/TC/LM,
1352,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,6.6,N,N,USDA/TC,
1616,Private,Private,R,R139,PN,PNRE,PNRE,Pinus resinosa,Red Pine,6.6,Y,Y,USDA/TC/LM,
1618,Private,Private,R,R139,PN,PNRE,PNRE,Pinus resinosa,Red Pine,6.6,Y,Y,USDA/TC/LM,
1873,Private,Private,R,R157,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.6,Y,Y,USDA/TC/LM,
921,Private,Private,R,R19,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,6.7,N,Y,USDA/TC/LM/Mortens,
1299,Private,Private,R,R115,HY,HYAR,HYAR,Hydrangea_arborescens,,6.7,N,Y,https://www.fs.fed.us/wildflowers/plant-of-the-week/hydrangea-arborescens.shtml,
2578,Private,Institutional,I,I1,AC,ACSA,ACSA,Acer saccharinum ,Silver Maple,6.7,Y,Y,USDA/LM,
1128,Private,Private,R,R5,PR,PRCE,PRCE,Prunus cerasifera,Cherry plum,6.8,N,N,USDA/TB,
1376,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.8,Y,Y,USDA/TC/LM,
1389,Private,Private,R,R118,TA,TACA,TACA,Taxus canadensis,Canadian Yew,6.8,Y,Y,USDA/TC/LM,
1603,Private,Private,R,R139,AC,ACPL,ACPL,Acer platanoides,Norway Maple,6.8,N,N,USDA/TC,
1929,Private,Private (Alley),A,A6,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.8,Y,Y,USDA/TC/LM,
2580,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,6.8,Y,Y,USDA/TC/LM,
2684,Private,Private,R,R164,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,6.8,N,N,USDA/TC/LM,
1962,Private,Private (Alley),A,A10,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,6.9,Y,Y,USDA/LM/NRC,
3,Public,Street,S,S120,AB,ABBA,ABBA,Abies balsamea,Balsam fir,7,Y,Y,USDA/TC/LM,
4,Public,Street,S,S120,AB,ABBA,ABBA,Abies balsamea,Balsam fir,7,Y,Y,USDA/TC/LM,
59,Public,Street,S,S64,AC,ACPL,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,7,N,N,USDA/TC,
150,Public,Street,S,S15,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,7,Y,Y,USDA/LM,
204,Public,Parc,P,P3,AM,AM,AM,Amelanchier,,7,Y,Y,NA,
319,Public,Street,S,S87,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,7,N,N,Mortens/TC/USDA,
798,Public,Street,S,S61,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,7,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
799,Public,Street,S,S61,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,7,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
839,Public,Street,S,S39,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,7,N,N,Mortons,
841,Public,Street,S,S39,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,7,N,N,Mortons,
846,Public,Street,S,S42,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,7,N,N,Mortons,
875,Public,Street,S,S96,UL,ULMO,ULXXMO,Ulmus x 'Morton' (Accolade TM),Morton (Accolade TM) Elm,7,N,N,Mortons,
920,Private,Private,R,R19,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,7,N,Y,USDA/TC/LM/Mortens,
930,Private,Private,R,R21,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,7,Y,Y,USDA/LM/NRC,
937,Private,Private,R,R22,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,7,N,Y,USDA/TC/LM/Mortens,
1071,Private,Private,R,R73,LO,LOPE,LOPE,Lonicera periclymenum,,7,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=,
1516,Private,Private,R,R132,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,7,N,N,USDA/TC,
1545,Private,Private,R,R135,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7,Y,Y,USDA/TC/LM,
1682,Private,Private,R,R143,AM,AMAR,AMAR,Amelanchier arborea,,7,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1727,Private,Private,R,R147,SA,SACA,SACA,Sambucus canadensis,,7,Y,Y,NA,
1875,Private,Private,R,R157,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7,Y,Y,USDA/TC/LM,
1931,Private,Private (Alley),A,A6,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7,Y,Y,USDA/TC/LM,
2128,Private,Institutional,I,I6,AC,ACFR,ACFR,Acer × freemanii,FREEMAN MAPLE,7,Y,Y,Mortens/LM,Hybrid of silver &red
2142,Private,Institutional,I,I6,AC,ACFR,ACFRAB,Acer_x_freemanii_'Autumn_Blaze',Autumn Blaze Freeman Maple,7,Y,Y,Mortens/LM,Hybrid of silver &red
2266,Private,Institutional,I,I6,MA,MA,MA,Malus_X,,7,N,N,NA,
2330,Private,Institutional,I,I6,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,7,N,N,USDA/TC/LM,
2616,Private,Institutional,I,I1,RH,RHTY,RHTY,Rhus typhina,,7,Y,Y,https://www.fs.fed.us/database/feis/plants/tree/rhutyp/all.html,
2662,Private,Institutional,I,I3,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,7,Y,Y,USDA/TC/Mortens/LM,
2664,Private,Institutional,I,I3,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,7,N,Y,USDA/TC/LM/Mortens,
1046,Private,Private,R,R65,CA,CAAB,CAAB,Caragana arborescens,,7.1,N,N,https://treecanada.ca/resources/tree-killers/siberian-peashrub/,
1555,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.1,Y,Y,USDA/TC/LM,
1696,Private,Private,R,R143,AM,AMAR,AMAR,Amelanchier arborea,,7.1,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1960,Private,Private (Alley),A,A10,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,7.1,Y,Y,USDA/LM/NRC,
2606,Private,Institutional,I,I1,TI,TIAM,TIAM,Tilia americana ,American Basswood,7.1,Y,Y,Mortens/LM,
2667,Private,Institutional,I,I3,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.1,Y,Y,USDA/TC/LM,
1062,Private,Private,R,R67,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,7.2,N,N,USDA/TC,
1140,Private,Private,R,R97,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,7.2,N,N,USDA/TC/LM,
1732,Private,Private,R,R149,PR,PRDO,PRDO,Prunus domestica,Garden Plum,7.2,N,N,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/,
1037,Private,Private,R,R59,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,7.3,N,N,USDA/TC/LM,
1690,Private,Private,R,R143,AM,AMAR,AMAR,Amelanchier arborea,,7.3,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1880,Private,Private,R,R158,PI,PIRU,PIRU,Picea rubens,Red Spruce,7.3,Y,Y,USDA/TC/LM,
1902,Private,Private,R,R161,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,7.3,N,N,USDA/TC/Mortens,
1000,Private,Private,R,R44,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.4,Y,Y,USDA/TC/LM,
1060,Private,Private,R,R67,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,7.4,N,N,USDA/TC,
1323,Private,Private,R,R118,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,7.4,N,N,USDA/TC/LM,
1449,Private,Private,R,R119,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,7.4,N,Y,USDA/TC/LM/Mortens,
1776,Private,Private,R,R151,AC,ACPL,ACPL,Acer platanoides,Norway Maple,7.4,N,N,USDA/TC,
1862,Private,Private,R,R156,AC,ACPA,ACPA,Acer palmatum,Japanese Maple,7.4,N,N,USDA/TC/Mortens,
2389,Private,Institutional,I,I1,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,7.4,Y,Y,USDA/TC/Mortens/LM,
2498,Private,Institutional,I,I1,AC,ACRU,ACRU,Acer rubrum,Red Maple,7.4,Y,Y,USDA/LM/TC,
1120,Private,Private,R,R7,LI,LIVU,LIVU,Ligustrum vulgare,,7.5,N,N,https://www.invasiveplantatlas.org/subject.html?sub=3036,
1377,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.5,Y,Y,USDA/TC/LM,
1934,Private,Private (Alley),A,A7,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,7.5,N,Y,TC/lLM/Mortens,
1954,Private,Private (Alley),A,A9,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,7.5,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
2160,Private,Institutional,I,I6,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,7.5,N,N,USDA/TC/Mortens,
968,Private,Private,R,R33,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.6,Y,Y,USDA/TC/LM,
1170,Private,Private,R,R108,MO,MOAL,MOAL,Morus alba,White Mulberry,7.6,N,N,USDA/TC/Mortens,
1342,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,7.6,N,N,USDA/TC,
1373,Private,Private,R,R118,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.6,Y,Y,USDA/TC/LM,
1397,Private,Private,R,R118,AC,ACPL,ACPL,Acer platanoides,Norway Maple,7.6,N,N,USDA/TC,
1664,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.6,Y,Y,USDA/TC/LM,
2510,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.6,Y,Y,USDA/TC/LM,
2587,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.6,Y,Y,USDA/TC/LM,
1955,Private,Private (Alley),A,A9,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,7.7,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
2657,Private,Institutional,I,I5,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,7.7,N,N,USDA/TC/LM,
950,Private,Private,R,R25,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,7.8,N,N,Mortens/TC/USDA,
1145,Private,Private,R,R102,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,7.8,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1320,Private,Private,R,R118,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,7.8,N,N,USDA/TC/LM,
1930,Private,Private (Alley),A,A6,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.8,Y,Y,USDA/TC/LM,
1959,Private,Private (Alley),A,A9,AM,AMCA,AMCA,Amelanchier canadensis,Downy Serviceberry,7.8,Y,Y,USDA/TC/LM,Synonym: Amelanchier arborea
2700,Private,Private (Alley),A,A11,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,7.8,N,N,USDA/TC/Mortens,
1051,Private,Private,R,R67,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.9,Y,Y,USDA/TC/LM,
1225,Private,Private,R,R113,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,7.9,Y,Y,USDA/TC/LM,
1283,Private,Private,R,R114,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,7.9,N,N,USDA/TC/LM,
1370,Private,Private,R,R118,PR,PRCE,PRCE,Prunus cerasifera 'Newport',Cherry plum,7.9,N,N,USDA/TB,
1450,Private,Private,R,R119,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,7.9,N,Y,USDA/TC/LM/Mortens,
1993,Private,Private,R,R161,TI,TIAM,TIAM,Tilia americana ,American Basswood,7.9,Y,Y,Mortens/LM,
37,Public,Street,S,S65,AC,ACPL,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,8,N,N,USDA/TC,
148,Public,Street,S,S3,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,8,Y,Y,USDA/LM,
197,Public,Street,S,S112,AC,ACFR,ACFRAB,Acer x freemanii 'Autumn Blaze',Autumn Blaze Freeman Maple,8,Y,Y,Mortens/LM,Hybrid of silver &red
205,Public,Parc,P,P3,AM,AM,AM,Amelanchier,,8,Y,Y,NA,
368,Public,Street,S,S44,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,8,N,Y,USDA/LM,
369,Public,Street,S,S46,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,8,N,Y,USDA/LM,
393,Public,Street,S,S60,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,8,N,Y,USDA/LM,
527,Public,Street,S,S71,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,8,N,Y,USDA/LM,
750,Public,Street,S,S74,UL,ULAM,ULAM,Ulmus americana,White Elm,8,Y,Y,USDA/TC/LM,
806,Public,Street,S,S74,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,8,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
1553,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,8,Y,Y,USDA/TC/LM,
1578,Private,Private,R,R138,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,8,Y,Y,USDA/LM/NRC,
1668,Private,Private,R,R143,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,8,Y,Y,USDA/TC/LM,
1684,Private,Private,R,R143,AM,AMAR,AMAR,Amelanchier arborea,,8,Y,Y,Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA,
1819,Private,Private,R,R152,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,8,N,N,USDA/TC/Mortens,
1889,Private,Private,R,R160,PN,PNST,PNST,Pinus strobus,Eastern White Pine,8,Y,Y,USDA/TC/LM,
